    x (mm)     y (mm)       yerr
 -8.000000  -0.116324   0.709851
 -7.673469  -2.218832   0.776596
 -7.346939   0.100851   0.602411
 -7.020408   0.159303   0.591998
 -6.693878   0.589781   0.583742
 -6.367347  -0.270491   0.312301
 -6.040816  -0.667484   0.629111
 -5.714286  -0.641329   0.343120
 -5.387755   0.043731   0.525042
 -5.061224  -0.240326   0.875503
 -4.734694   0.433819   1.015276
 -4.408163   0.485703   0.875391
 -4.081633   0.848283   0.431936
 -3.755102  -0.884100   1.066272
 -3.428571   1.562829   0.658699
 -3.102041  -0.579451   0.422559
 -2.775510  -0.077576   0.547004
 -2.448980   1.301732   0.744680
 -2.122449   1.632966   0.673239
 -1.795918   0.936602   0.336461
 -1.469388   0.701573   0.329546
 -1.142857   2.882917   1.227877
 -0.816327   2.490407   0.497203
 -0.489796   3.101907   0.606742
 -0.163265   3.107217   0.273229
  0.163265   3.209938   0.942641
  0.489796   3.380511   0.883655
  0.816327   1.733121   0.923594
  1.142857   1.883107   0.568130
  1.469388   0.735907   1.175419
  1.795918   0.333671   0.827961
  2.122449  -0.091977   1.243985
  2.448980   1.312910   0.587116
  2.775510   0.390504   1.167769
  3.102041  -0.525222   0.761462
  3.428571  -0.193394   1.224038
  3.755102  -0.348678   0.538144
  4.081633   0.271611   0.307328
  4.408163  -0.125141   0.430054
  4.734694  -0.418959   0.973845
  5.061224  -0.968766   0.428129
  5.387755   1.112623   1.219398
  5.714286   0.411417   0.549908
  6.040816  -0.677925   0.864398
  6.367347  -0.100306   1.221607
  6.693878   1.512440   1.053900
  7.020408   0.488133   0.724011
  7.346939  -1.044531   0.760865
  7.673469  -0.441043   0.836309
  8.000000   0.007938   0.480060
